dk_region,hemisphere
medialorbitofrontal,left
lateralorbitofrontal,left
parsorbitalis,left
parstriangularis,left
parsopercularis,left
rostralmiddlefrontal,left
superiorfrontal,left
precentral,left
paracentral,left
insula,left
rostralanteriorcingulate,left
caudalanteriorcingulate,left
posteriorcingulate,left
fusiform,left
parahippocampal,left
inferiortemporal,left
temporalpole,left
middletemporal,left
superiortemporal,left
transversetemporal,left
postcentral,left
supramarginal,left
inferiorparietal,left
superiorparietal,left
precuneus,left
cuneus,left
lateraloccipital,left
pericalcarine,left
lingual,left
caudate,left
putamen,left
pallidum,left
hippocampus,left
amygdala,left
accumbens,left
medialorbitofrontal,right
lateralorbitofrontal,right
parsorbitalis,right
parstriangularis,right
parsopercularis,right
rostralmiddlefrontal,right
superiorfrontal,right
precentral,right
paracentral,right
insula,right
rostralanteriorcingulate,right
caudalanteriorcingulate,right
posteriorcingulate,right
fusiform,right
parahippocampal,right
inferiortemporal,right
temporalpole,right
middletemporal,right
superiortemporal,right
transversetemporal,right
postcentral,right
supramarginal,right
inferiorparietal,right
superiorparietal,right
precuneus,right
cuneus,right
lateraloccipital,right
pericalcarine,right
lingual,right
caudate,right
putamen,right
pallidum,right
hippocampus,right
amygdala,right
accumbens,right
