index,region,hemisphere,aparc_label_id
0,frontalpole,left,3
1,medialorbitofrontal,left,4
2,lateralorbitofrontal,left,5
3,parsorbitalis,left,6
4,parstriangularis,left,7
5,parsopercularis,left,8
6,rostralmiddlefrontal,left,9
7,caudalmiddlefrontal,left,10
8,superiorfrontal,left,11
9,precentral,left,12
10,paracentral,left,13
11,insula,left,14
12,rostralanteriorcingulate,left,15
13,caudalanteriorcingulate,left,16
14,posteriorcingulate,left,17
15,isthmuscingulate,left,18
16,entorhinal,left,19
17,fusiform,left,20
18,parahippocampal,left,21
19,inferiortemporal,left,22
20,temporalpole,left,23
21,middletemporal,left,24
22,superiortemporal,left,25
23,transversetemporal,left,26
24,bankssts,left,27
25,postcentral,left,28
26,supramarginal,left,29
27,inferiorparietal,left,30
28,superiorparietal,left,31
29,precuneus,left,32
30,cuneus,left,33
31,lateraloccipital,left,34
32,pericalcarine,left,35
33,lingual,left,36
34,caudate,left,37
35,putamen,left,38
36,pallidum,left,39
37,thalamus,left,40
38,thalamus-proper,left,41
39,hippocampus,left,42
40,amygdala,left,43
41,accumbens,left,44
42,ventralDC,left,45
43,frontalpole,right,46
44,medialorbitofrontal,right,47
45,lateralorbitofrontal,right,48
46,parsorbitalis,right,49
47,parstriangularis,right,50
48,parsopercularis,right,51
49,rostralmiddlefrontal,right,52
50,caudalmiddlefrontal,right,53
51,superiorfrontal,right,54
52,precentral,right,55
53,paracentral,right,56
54,insula,right,57
55,rostralanteriorcingulate,right,58
56,caudalanteriorcingulate,right,59
57,posteriorcingulate,right,60
58,isthmuscingulate,right,61
59,entorhinal,right,62
60,fusiform,right,63
61,parahippocampal,right,64
62,inferiortemporal,right,65
63,temporalpole,right,66
64,middletemporal,right,67
65,superiortemporal,right,68
66,transversetemporal,right,69
67,bankssts,right,70
68,postcentral,right,71
69,supramarginal,right,72
70,inferiorparietal,right,73
71,superiorparietal,right,74
72,precuneus,right,75
73,cuneus,right,76
74,lateraloccipital,right,77
75,pericalcarine,right,78
76,lingual,right,79
77,caudate,right,80
78,putamen,right,81
79,pallidum,right,82
80,thalamus,right,83
81,thalamus-proper,right,84
82,hippocampus,right,85
83,amygdala,right,86
84,accumbens,right,87
85,ventralDC,right,88
